date,competition,url,id,country,competition_class,season,race_type,category,discipline
02 Nov 2019,Really Rad Festival of Cyclocross Day 1,https://dataride.uci.org/iframe/CompetitionResults/57867?disciplineId=3,57867,USA,C2,2020,All,All,Cyclo-cross
02 Nov 2019,Ciclocross Manlleu,https://dataride.uci.org/iframe/CompetitionResults/57926?disciplineId=3,57926,ESP,C2,2020,All,All,Cyclo-cross
01 Nov 2019,DVV Verzekeringen trofee Koppenbergcross,https://dataride.uci.org/iframe/CompetitionResults/57812?disciplineId=3,57812,BEL,C1,2020,All,All,Cyclo-cross
01 Nov 2019,Gran Premi Les Franqueses,https://dataride.uci.org/iframe/CompetitionResults/57907?disciplineId=3,57907,ESP,C2,2020,All,All,Cyclo-cross
01 Nov 2019,GP Citta Di Jesolo,https://dataride.uci.org/iframe/CompetitionResults/58461?disciplineId=3,58461,ITA,C2,2020,All,All,Cyclo-cross
28 Oct 2019,Toi Toi Cup,https://dataride.uci.org/iframe/CompetitionResults/57838?disciplineId=3,57838,CZE,C1,2020,All,All,Cyclo-cross
27 Oct 2019,Telenet Superprestige Gavere,https://dataride.uci.org/iframe/CompetitionResults/57813?disciplineId=3,57813,BEL,C1,2020,All,All,Cyclo-cross
27 Oct 2019,National Trophy Series Round 3: Irvine,https://dataride.uci.org/iframe/CompetitionResults/57841?disciplineId=3,57841,GBR,C2,2020,All,All,Cyclo-cross
27 Oct 2019,Cincinnati UCI Cyclocross - Kingswood Park,https://dataride.uci.org/iframe/CompetitionResults/57866?disciplineId=3,57866,USA,C2,2020,All,All,Cyclo-cross
27 Oct 2019,Lithuanian National Championships,https://dataride.uci.org/iframe/CompetitionResults/57880?disciplineId=3,57880,LTU,CN,2020,All,All,Cyclo-cross
27 Oct 2019,Grand-Prix de la Commune de Contern,https://dataride.uci.org/iframe/CompetitionResults/57886?disciplineId=3,57886,LUX,C2,2020,All,All,Cyclo-cross
27 Oct 2019,Elorrioko Basqueland Ziklokrosa,https://dataride.uci.org/iframe/CompetitionResults/57887?disciplineId=3,57887,ESP,C1,2020,All,All,Cyclo-cross
27 Oct 2019,Munich Super Cross,https://dataride.uci.org/iframe/CompetitionResults/57893?disciplineId=3,57893,GER,C1,2020,All,All,Cyclo-cross
27 Oct 2019,Grand Prix Topolcianky,https://dataride.uci.org/iframe/CompetitionResults/58043?disciplineId=3,58043,SVK,C1,2020,All,All,Cyclo-cross
27 Oct 2019,Sagae Round Tohoku CX Series,https://dataride.uci.org/iframe/CompetitionResults/58076?disciplineId=3,58076,JPN,C2,2020,All,All,Cyclo-cross
27 Oct 2019,HPCX,https://dataride.uci.org/iframe/CompetitionResults/58315?disciplineId=3,58315,USA,C2,2020,All,All,Cyclo-cross
26 Oct 2019,Beringen,https://dataride.uci.org/iframe/CompetitionResults/57820?disciplineId=3,57820,BEL,C2,2020,All,All,Cyclo-cross
26 Oct 2019,Cincinnati UCI Cyclocross - Kingswood Park,https://dataride.uci.org/iframe/CompetitionResults/57865?disciplineId=3,57865,USA,C1,2020,All,All,Cyclo-cross
26 Oct 2019,Ziklokross Laudio,https://dataride.uci.org/iframe/CompetitionResults/57885?disciplineId=3,57885,ESP,C1,2020,All,All,Cyclo-cross
